s,a,r,s′
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
State(101),kick,-9.998,State(102)
State(100),kick,10.003,State(102)
